TRANSLATOR,SOURCE_LANG,TARGET_LANG,HOURLY_RATE,MANUFACTURER_INDUSTRY,TASK_TYPE,PM,FORECAST_mean,HOURLY_RATE_mean,QUALITY_EVALUATION_mean,SOURCE_LANG_EMBED,TARGET_LANG_EMBED,INDUSTRY_EMBED
Aaron,English,Basque,20.7,Internet Services & Infrastructure,ProofReading,RMT,0.5,19.5,4.0,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.0335264  -0.05219751  0.01576343 -0.0135119  -0.03927745  0.0086725
  0.00030478  0.02644572  0.03676897  0.0274001 ]","[-0.06525061  0.02902457  0.03284153 -0.06585586 -0.02067651  0.04494146
 -0.03462073 -0.0873913  -0.10174164  0.07483237]"
Abdon Isaias,English,Spanish_Iberian,16.375,"Technology Hardware, Storage & Peripherals",Translation,BMT,4.094279600570614,16.964336661911556,7.069900142653353,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[ 0.00565127  0.05642691 -0.01672912 -0.0658633  -0.00817138  0.10434441
  0.04380587 -0.10265152  0.06030599  0.06691931]"
Abelardo,English,Catalan,20.555555555555557,Communications Equipment,Translation,RMT,7.033417721518987,22.075949367088608,7.113924050632911,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.04949501 -0.07142061 -0.00582804 -0.0103675  -0.01959093 -0.01621186
 -0.05137381  0.03337552  0.03752217  0.05064603]","[-0.00962669  0.01952609 -0.02710957 -0.01522655  0.00232967  0.1162122
  0.0648564  -0.07636858  0.04060648  0.08880821]"
Acacio Poncio,English,Spanish_Iberian,18.727272727272727,Application Software,Translation,BMT,4.994358452138493,18.576374745417514,6.871690427698574,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.05101885  0.01330057  0.06103686 -0.02278463  0.02485974  0.02418976
 -0.02673537 -0.0733524  -0.09887369  0.06420951]"
Agueda,English,Catalan,21.476190476190474,Internet Services & Infrastructure,Translation,RMT,2.9516666666666667,22.48230088495575,6.967551622418879,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.04949501 -0.07142061 -0.00582804 -0.0103675  -0.01959093 -0.01621186
 -0.05137381  0.03337552  0.03752217  0.05064603]","[-0.06525061  0.02902457  0.03284153 -0.06585586 -0.02067651  0.04494146
 -0.03462073 -0.0873913  -0.10174164  0.07483237]"
Agustina,English,Spanish_LA,15.666666666666666,Automobiles,Translation,BMT,20.60727272727273,16.0,6.454545454545454,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.03585797 -0.07145234  0.13904646 -0.04206239 -0.0399279   0.0584859
 -0.03363704 -0.02196086  0.07698956  0.13915524]","[ 0.08045845 -0.01581908 -0.007455   -0.01380522  0.00964674 -0.02798142
  0.01228993 -0.02930834  0.04264663 -0.00346497]"
Aide,English,Spanish_Global,18.0,Machinery,Translation,BMT,34.88,22.0,7.0,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.05821279 -0.05821069  0.13881628 -0.04064738 -0.0069968   0.07730105
 -0.02944199 -0.04357552  0.0835914   0.16974896]","[ 0.02607555 -0.05837044 -0.03120304  0.05636669  0.02602562  0.04798192
  0.0444582  -0.06211484  0.04206486  0.05671427]"
Aisha,Spanish_Iberian,Arabic,25.0,Industrial Conglomerates,Translation,RMT,3.5549999999999997,25.0,8.0,"[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.02086549 -0.02379055  0.00802869  0.03439631  0.00194821 -0.08754287
 -0.02276828 -0.02573539  0.00027001  0.06326765]","[ 0.05135272  0.00919782 -0.04244554  0.00098652 -0.01586641 -0.02952833
  0.02160987 -0.01888893  0.03872581 -0.03028474]"
Alain,Spanish_Iberian,French,30.0,Industrial Conglomerates,Translation,RMT,11.6,30.0,8.0,"[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.02795416 -0.02213892  0.07758144 -0.05319271 -0.04560148 -0.01487877
  0.01912314  0.00993574 -0.00545423  0.05513928]","[ 0.05135272  0.00919782 -0.04244554  0.00098652 -0.01586641 -0.02952833
  0.02160987 -0.01888893  0.03872581 -0.03028474]"
Alba,English,Basque,26.0,Health Care Facilities,Miscellaneous,RMT,0.0,26.0,5.0,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.0335264  -0.05219751  0.01576343 -0.0135119  -0.03927745  0.0086725
  0.00030478  0.02644572  0.03676897  0.0274001 ]","[-0.06084788 -0.16297893  0.06373858 -0.0323597  -0.01416619  0.05499223
 -0.05170731  0.10457809 -0.01803826 -0.01270565]"
Alejo,English,Spanish_Global,20.0,Application Software,Translation,BMT,33.86666666666667,22.333333333333332,7.111111111111111,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.05821279 -0.05821069  0.13881628 -0.04064738 -0.0069968   0.07730105
 -0.02944199 -0.04357552  0.0835914   0.16974896]","[-0.05101885  0.01330057  0.06103686 -0.02278463  0.02485974  0.02418976
 -0.02673537 -0.0733524  -0.09887369  0.06420951]"
Alex,English,Spanish_Iberian,19.2,Internet Services & Infrastructure,Translation,RMT,3.309705882352941,21.058823529411764,6.529411764705882,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.06525061  0.02902457  0.03284153 -0.06585586 -0.02067651  0.04494146
 -0.03462073 -0.0873913  -0.10174164  0.07483237]"
Alexander,English,Catalan,22.11111111111111,Automobiles,Miscellaneous,RMT,15.528333333333334,21.0,7.166666666666667,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.04949501 -0.07142061 -0.00582804 -0.0103675  -0.01959093 -0.01621186
 -0.05137381  0.03337552  0.03752217  0.05064603]","[ 0.08045845 -0.01581908 -0.007455   -0.01380522  0.00964674 -0.02798142
  0.01228993 -0.02930834  0.04264663 -0.00346497]"
Alfonso,English,Basque,16.0,Communications Equipment,Translation,RMT,2.631327967806841,16.75251509054326,6.957746478873239,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.0335264  -0.05219751  0.01576343 -0.0135119  -0.03927745  0.0086725
  0.00030478  0.02644572  0.03676897  0.0274001 ]","[-0.00962669  0.01952609 -0.02710957 -0.01522655  0.00232967  0.1162122
  0.0648564  -0.07636858  0.04060648  0.08880821]"
Almudena Fiamma,English,Spanish_Iberian,20.272727272727273,Trading Companies & Distributors,ProofReading,PMT,1.0899226091763405,20.111663902708678,7.010503040353787,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.01989399  0.08402714 -0.0744723  -0.02723608 -0.02650884 -0.06130442
 -0.00825088  0.0008051   0.02731935 -0.03058985]"
Almudena Jorge,Dutch,Spanish_Iberian,31.0,Health Care Facilities,Translation,BMT,5.5600000000000005,31.0,6.0,"[-0.0365377   0.00776961  0.0175278  -0.01601496 -0.01696754 -0.04548374
  0.02090783  0.0526927  -0.02462593  0.04186139]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[-0.06084788 -0.16297893  0.06373858 -0.0323597  -0.01416619  0.05499223
 -0.05170731  0.10457809 -0.01803826 -0.01270565]"
Alvaro Borja,German,Spanish_Iberian,19.0,Industrial Machinery,Translation,BMT,17.2,19.0,8.0,"[-0.01313859 -0.04253142  0.02580829 -0.02932405 -0.03889363 -0.04045099
  0.05458819  0.02515613 -0.04223937  0.03846855]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[ 0.02294636 -0.040781   -0.0532133   0.06001566  0.01372087  0.06161886
  0.06200593 -0.06508689  0.06810737  0.04516603]"
Amelie,English,French,31.125,Industrial Conglomerates,ProofReading,RMT,5.412325581395349,32.51162790697674,6.488372093023256,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[-0.02795416 -0.02213892  0.07758144 -0.05319271 -0.04560148 -0.01487877
  0.01912314  0.00993574 -0.00545423  0.05513928]","[ 0.05135272  0.00919782 -0.04244554  0.00098652 -0.01586641 -0.02952833
  0.02160987 -0.01888893  0.03872581 -0.03028474]"
Ana Barbara,English,Catalan,15.25,Health Care Facilities,ProofReading,RMT,4.332307692307692,17.153846153846153,7.153846153846154,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.04949501 -0.07142061 -0.00582804 -0.0103675  -0.01959093 -0.01621186
 -0.05137381  0.03337552  0.03752217  0.05064603]","[-0.06084788 -0.16297893  0.06373858 -0.0323597  -0.01416619  0.05499223
 -0.05170731  0.10457809 -0.01803826 -0.01270565]"
Ana Pilar,English,Spanish_Iberian,16.5,Multi-Sector Holdings,Translation,RMT,7.805625,15.25,6.875,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07354073 -0.0826873   0.13859886 -0.06089956 -0.01735869  0.08285626
 -0.02653239  0.01009069  0.06063478  0.14612961]","[ 0.0596035   0.01109511 -0.01069049 -0.05085004 -0.00800642 -0.04550217
  0.01320571 -0.01837562  0.02556455 -0.0088336 ]"
Anabela,English,Portuguese_Iberian,20.857142857142858,Health Care Facilities,Translation,RMT,5.109999999999999,20.0,7.0,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.07015002 -0.06886983  0.12402785 -0.06617782 -0.00552985  0.07221255
 -0.02090187  0.02845905  0.03614025  0.14539152]","[-0.06084788 -0.16297893  0.06373858 -0.0323597  -0.01416619  0.05499223
 -0.05170731  0.10457809 -0.01803826 -0.01270565]"
Ananias,English,Italian,21.333333333333332,Health Care Facilities,Translation,RMT,0.7133333333333333,21.333333333333332,7.0,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.04289701 -0.05619739 -0.00247882 -0.00903576 -0.03534555 -0.00208459
  0.00478718  0.03693621 -0.02163061  0.04969206]","[-0.06084788 -0.16297893  0.06373858 -0.0323597  -0.01416619  0.05499223
 -0.05170731  0.10457809 -0.01803826 -0.01270565]"
Anatolio,English,Catalan,14.6,"Technology Hardware, Storage & Peripherals",Translation,BMT,13.931666666666667,16.5,7.333333333333333,"[-0.03204311 -0.05257272  0.04719335 -0.04436722 -0.04716759 -0.0723201
  0.02152008 -0.00782482  0.02313956  0.10111277]","[ 0.04949501 -0.07142061 -0.00582804 -0.0103675  -0.01959093 -0.01621186
 -0.05137381  0.03337552  0.03752217  0.05064603]","[ 0.00565127  0.05642691 -0.01672912 -0.0658633  -0.00817138  0.10434441
  0.04380587 -0.10265152  0.06030599  0.06691931]"
